testcaseName;Verify_listOrdinations_success_returns_200_returns_200;Verify_listOrdinations_invalid_input_returns_400_returns_400;Verify_listOrdinations_scenario_returns_404_returns_404;Verify_listOrdinations_missing_parameter_returns_400_returns_400;Verify_Response_Fields_listOrdinations
testcaseDescription;Verify that the API returns a successful response when providing a valid contract partner number.;Verify that the API returns a 400 Bad Request response when providing an invalid contract partner number format.;Verify that the API returns a 404 Not Found response when providing a contract partner number that does not exist.;Verify that the API returns a 400 Bad Request response when the contract partner number is missing in the request.;Verify response contains documented response fields
apiEndpoint;https://ecs-webapps-ecs-syst-syst.ecs.ocp-stag.cloud.svc.co.at;https://ecs-webapps-ecs-syst-syst.ecs.ocp-stag.cloud.svc.co.at;https://ecs-webapps-ecs-syst-syst.ecs.ocp-stag.cloud.svc.co.at;https://ecs-webapps-ecs-syst-syst.ecs.ocp-stag.cloud.svc.co.at;https://ecs-webapps-ecs-syst-syst.ecs.ocp-stag.cloud.svc.co.at
statusCode;200;400;404;400;200
contractPartnerNumber;123456;123456;123456;123456;123456
assert.contractPartnerNumber;;;;;[*].contractPartnerNumber
assert.ordinationNumber;;;;;[*].ordinationNumber
assert.ordinationActive;;;;;[*].ordinationActive
assert.formOfAddress;;;;;[*].formOfAddress
assert.titlePrefix;;;;;[*].titlePrefix
assert.firstName;;;;;[*].firstName
assert.lastName;;;;;[*].lastName
assert.titleSuffix;;;;;[*].titleSuffix
assert.zip;;;;;[*].zip
assert.city;;;;;[*].city
assert.street;;;;;[*].street
assert.predecessor;;;;;[*].predecessor
assert.successor;;;;;[*].successor
assert.clientIp;;;;;[*].clientIp
assert.provision;;;;;[*].provision
assert.reservation;;;;;[*].reservation
